Date;Area Name;Electric;Plug-In Hybrid*;Hybrid;All Hybrids;Gas;Diesel;Electric: Difference;Plug-In Hybrid*: Difference;Hybrid: Difference;All Hybrids: Difference;Gas: Difference;Diesel: Difference;Year;Month
2023-06-30 00:00:00;Surry County;94.0;48.0;766.0;814.0;68639.0;11766.0;5.0;1.0;5.0;6.0;231.0;120.0;2023;06
2023-06-30 00:00:00;Warren County;31.0;19.0;188.0;207.0;16607.0;1114.0;1.0;2.0;4.0;6.0;-35.0;-8.0;2023;06
2023-06-30 00:00:00;Yancey County;35.0;31.0;340.0;371.0;18186.0;1771.0;1.0;0.0;4.0;4.0;61.0;-5.0;2023;06
2023-07-31 00:00:00;Alamance County;496.0;196.0;2668.0;2864.0;133898.0;7640.0;24.0;6.0;26.0;32.0;7.0;18.0;2023;07
2023-07-31 00:00:00;Brunswick County;551.0;281.0;3321.0;3602.0;133524.0;6113.0;19.0;11.0;60.0;71.0;306.0;-3.0;2023;07
2023-07-31 00:00:00;Davie County;129.0;65.0;785.0;850.0;40217.0;3418.0;3.0;1.0;19.0;20.0;24.0;1.0;2023;07
2023-07-31 00:00:00;Duplin County;31.0;22.0;384.0;406.0;45234.0;4196.0;0.0;-2.0;3.0;1.0;-88.0;5.0;2023;07
2023-07-31 00:00:00;Jackson County;92.0;83.0;640.0;723.0;30668.0;2768.0;3.0;5.0;13.0;18.0;-105.0;9.0;2023;07
2023-07-31 00:00:00;Jones County;6.0;7.0;72.0;79.0;8395.0;738.0;1.0;1.0;-3.0;-2.0;-20.0;2.0;2023;07
2023-07-31 00:00:00;Macon County;111.0;57.0;513.0;570.0;33025.0;3057.0;4.0;-1.0;11.0;10.0;29.0;-13.0;2023;07
2023-07-31 00:00:00;Moore County;551.0;244.0;2543.0;2787.0;87800.0;14089.0;27.0;5.0;26.0;31.0;-69.0;133.0;2023;07
2023-07-31 00:00:00;Orange County;2034.0;773.0;6493.0;7266.0;90545.0;4051.0;74.0;6.0;22.0;28.0;-250.0;-18.0;2023;07
2023-07-31 00:00:00;Pender County;179.0;96.0;1085.0;1181.0;54801.0;4209.0;6.0;-1.0;6.0;5.0;123.0;7.0;2023;07
2023-07-31 00:00:00;Rowan County;278.0;135.0;1555.0;1690.0;115141.0;10541.0;8.0;3.0;17.0;20.0;-166.0;5.0;2023;07
2023-08-30 00:00:00;Alamance County;512.0;201.0;2722.0;2923.0;134776.0;7651.0;16.0;5.0;54.0;59.0;878.0;11.0;2023;08
2023-08-30 00:00:00;Cabarrus County;1531.0;352.0;3637.0;3989.0;165432.0;9979.0;56.0;10.0;115.0;125.0;432.0;93.0;2023;08
2023-08-30 00:00:00;Chowan County;27.0;14.0;173.0;187.0;12058.0;1101.0;1.0;1.0;0.0;1.0;28.0;9.0;2023;08
2023-08-30 00:00:00;Craven County;223.0;118.0;1651.0;1769.0;80710.0;4650.0;2.0;3.0;36.0;39.0;357.0;24.0;2023;08
2023-08-30 00:00:00;Duplin County;31.0;21.0;392.0;413.0;45408.0;4232.0;0.0;-1.0;8.0;7.0;174.0;36.0;2023;08
2023-08-30 00:00:00;Iredell County;941.0;333.0;3105.0;3438.0;155128.0;11074.0;39.0;5.0;77.0;82.0;639.0;48.0;2023;08
2023-08-30 00:00:00;Lee County;151.0;69.0;960.0;1029.0;48734.0;3167.0;5.0;-2.0;13.0;11.0;193.0;10.0;2023;08
2023-08-30 00:00:00;Macon County;112.0;62.0;513.0;575.0;33186.0;3063.0;1.0;5.0;0.0;5.0;161.0;6.0;2023;08
2023-08-30 00:00:00;Rockingham County;112.0;64.0;938.0;1002.0;79811.0;5179.0;6.0;1.0;25.0;26.0;305.0;12.0;2023;08
2023-08-30 00:00:00;Rowan County;283.0;137.0;1594.0;1731.0;115551.0;10547.0;5.0;2.0;39.0;41.0;410.0;6.0;2023;08
2023-08-30 00:00:00;Yadkin County;49.0;23.0;415.0;438.0;36264.0;3480.0;3.0;-3.0;8.0;5.0;115.0;-4.0;2023;08
2023-01-31 00:00:00;Alexander County;32.0;33.0;354.0;387.0;34388.0;2900.0;3.0;0.0;-3.0;-3.0;63.0;10.0;2023;01
2023-01-31 00:00:00;Bertie County;6.0;5.0;112.0;117.0;15804.0;1224.0;0.0;1.0;2.0;3.0;-19.0;30.0;2023;01
2023-01-31 00:00:00;Bladen County;19.0;9.0;200.0;209.0;27120.0;2207.0;-1.0;0.0;3.0;3.0;65.0;18.0;2023;01
